id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
276,Arjan Bhullar,245.0,1986-05-13,6.0,1.0
277,Bibulatov Magomed,125.0,1988-08-22,5.0,5.0
278,KB Bhullar,185.0,1991-10-12,6.0,4.0
279,David Bielkheden,155.0,1979-06-06,5.0,10.0
280,Jeremiah Billington,205.0,1977-11-14,5.0,9.0
281,Scott Bills,170.0,,5.0,10.0
282,Anthony Birchak,135.0,1986-05-16,5.0,8.0
283,Chris Birchler,205.0,1987-06-05,6.0,3.0
284,Simon Biyong,205.0,1991-04-05,,
285,Amaury Bitetti,185.0,1969-04-14,5.0,9.0
286,Michael Bisping,185.0,1979-02-28,6.0,1.0
287,Jan Blachowicz,205.0,1983-02-24,6.0,2.0
288,Tom Blackledge,205.0,,,
289,Jason Black,155.0,1972-07-15,5.0,8.0
290,Brad Blackburn,170.0,1977-05-25,5.0,10.0
291,Jason Blackford,,,,
292,Maximo Blanco,145.0,1983-10-16,5.0,8.0
293,Sherrard Blackledge,155.0,1993-08-16,5.0,11.0
294,David Blanco,145.0,,5.0,7.0
295,Curtis Blaydes,265.0,1991-02-18,6.0,4.0
296,Arlene Blencowe,145.0,1983-04-11,5.0,5.0
297,Byron Bloodworth,135.0,1983-08-16,5.0,8.0
298,Dashawn Boatwright,205.0,1988-02-29,6.0,0.0
299,Dan Bobish,345.0,1970-01-26,6.0,2.0
300,Kyle Bochniak,145.0,1987-02-05,5.0,7.0
301,Mark Bocek,155.0,1981-10-24,5.0,8.0
302,James Bochnovic,205.0,1989-02-13,6.0,4.0
303,Jeremy Boczulak,,,,
304,Galore Bofando,170.0,1982-05-22,5.0,11.0
305,Jay Bogan,145.0,,,
306,Tim Boetsch,185.0,1981-01-28,6.0,0.0
307,Roman Bogatov,155.0,1990-12-15,5.0,8.0
308,Derek Bohi,260.0,,6.0,4.0
309,Jerry Bohlander,199.0,1974-02-12,5.0,11.0
310,Kotetsu Boku,154.0,1977-05-27,5.0,9.0
311,Kyle Bolt,185.0,,6.0,2.0
312,Denys Bondar,125.0,1992-06-27,5.0,6.0
313,Luc Bondole,205.0,,6.0,2.0
314,Tony Bonello,185.0,1972-10-20,6.0,2.0
315,Jesse Bongfeldt,185.0,1980-08-28,6.0,0.0
316,Marcos Bonilla,145.0,,5.0,10.0
317,Rogerio Bontorin,125.0,1992-04-25,5.0,5.0
318,Stephan Bonnar,205.0,1977-04-04,6.0,4.0
319,Ray Borg,135.0,1993-08-04,5.0,4.0
320,Igor Borisov,235.0,1964-05-18,6.0,0.0
321,Tanner Boser,255.0,1991-08-02,6.0,2.0
322,Calen Born,170.0,1988-05-24,5.0,8.0
323,Steve Bosse,205.0,1981-07-29,5.0,11.0
324,Marcus Bossett,215.0,,6.0,1.0
325,Chris Bostick,,,,
326,Poliana Botelho,115.0,1988-12-15,5.0,8.0
327,Francois Botha,260.0,1968-09-28,6.0,2.0
328,Rich Bouphanouvong,170.0,,5.0,7.0
